FarmID,State,Crop,Season,SoilType,FarmingMethod,IrrigationType,FertilizerUsed,PesticideUsed,ImprovedSeed,FarmSize(Hectares),Rainfall(mm),Temperature(°C),Humidity(%),SoilPH,Fertilizer(kg/ha),Pesticide(L/ha),FarmExperience(Years),NumWorkers,DistanceToMarket(km),CreditAccess,ExtensionServices,PreviousYield(tons/ha),PlantingDensity(plants/ha),ActualYield(tons/ha),YieldCategory
FRM002756,Jigawa,Cassava,wet season,Loamy,Irrigation,Sprinkler,Yes,1,No,11.299999999999999,1229.4,29.9,63.8,5.81,49.1,4.53,3,3,23.3,0,0,2.72,66762.0,4.42,Moderate
FRM002757,Zamfara,Rice,Harmattan,Loamy,Rain-fed,Sprinkler,Yes,Yes,No,1.56,550.8,29.1,31.8,7.14,52.7,3.92,8,6,19.0,0,0,2.21,51913.0,1.71,LOW
FRM002758,Zamfara,Maize,DRY,Loamy,Irrigation,None,No,Yes,Yes,1.24 acres,942.2,23.8,54.1,6.74,97.7,3.22,7,4,51.5,1,1,0.75,72744.0,3.46,M
FRM002759,Plateau,Cowpea,DRY,loamy,mixed,None,Yes,No,yes,7.31,715.8,26.2,67.6,6.08,83.5,2.03,7,2,48.0,0,1,1.03,55836.0,4.58,medium
FRM002760,Taraba,Maize,Dry Season,Sandy,Rain-fed,Drip,Yes,No,Yes,1.92,975.9,30.2,63.5,6.58,31.0,6.97,0,7,32.6,1,0,2.28,81555.0,3.65,medium
FRM002761,Jigawa,Sorghum,DRY,Loamy,Irrigation,None,Yes,no,No,3.0,1081.7,33.8,68.5,pH 6.48,105.6,3.4,0,3,26.3,1,1,1.96,11507.0,2.88,Moderate
FRM002762,Gombe,Yam,wet season,C,Mixed,None,No,No,Yes,1.28,1110.4,23.1,47.8,6.48,87.0,4.09,16,3,14.8,1,0,2.22,51878.0,1.92,Poor
FRM002763,Kaduna,Yam,Wet Season,Silt,Rain-fed,Flood,yes,Yes,Y,0.11,913.8,21.3,88.2,6.47,118.1,0.0,12,3,20.9,1,0,2.91,57192.0,3.07,M
FRM002764,Kaduna,Cowpea,Dry Season,Silt,IRRIGATION,flood,Yes,no,Yes,5.14,1357.3 mm,23.2,82.8,5.81,105.1,4.93,21,1,10.1,1,0,2.18,47098.0,59.0,Excellent
FRM002765,Niger,Maize,Wet Season,Loamy,Irrigated,Flood,Yes,Yes,Yes,4.16,994.9,34.0,67.6,6.37,63.6,4.28,0,3,1.0,0,1,4.01,73369.0,4.04,high
FRM002766,Yobe,Cowpea,Wet Season,Clay,irrigation,Flood,Yes,Yes,Yes,3.18,389.2,24.9,47.9,6.29,77.1,0.0,11,2,22.0,1,0,2.64,46277.0,2.31,Average
FRM002767,Plateau,Rice,Wet Season,Sandy,Rain-fed,Flood,Yes,No,Yes,7.37,1044.9,28.8,70.6,6.6,41.2,1.25,19,6,21.5,1,0,3.7,47622.0,2.91,Medium
FRM002768,Kano,Yam,Dry Season,Sandy,Irrigation,sprinkler,No,No,yes,0.74,770.0,33.7,65.9,5.98,105.0,1.71,1,3,21.5,1,1,3.22,52593.0,3.19,medium
FRM002769,Plateau,Groundnut,Dry Season,Sandy,Rain-fed,Sprinkler,Yes,Yes,Yes,0.46,950.7,29.7,73.8%,6.06,132.1,3.33,9,5,37.2,0,1,,64747.0,3.07,AVERAGE
FRM002770,Plateau,Cassava,WET,loamy,Rain-fed,Flood,yes,Yes,No,0.53 ha,522.9,28.8,51.0,5.49,74.2,1.64,10,3,20.7,1,1,3.19,50728.0,3.49 t/ha,Average
FRM002771,Bauchi,Soybean,wet season,Loamy,mixed,None,No,Yes,No,0.67,670.6,24.3,71.2,6.74,143.5,2.96,11,4,1.0,0,0,5.46,31971.0,2.0,Medium
FRM002772,Plateau,Sorghum,Harmattan,Loamy,Rain-fed,Flood,yes,Y,Yes,2.59,893.0,33.2,51.1,4.86,49.1,3.69,9,4,21.1,1,1,2.47 tons,35877.0,2.47,M
FRM002773,Zamfara,Groundnut,Wet Season,Sandy,Rain-fed,Flood,No,Yes,Yes,1.54,894.2,27.8,60.5,7.76,31.5,4.93,20,4,7.7,0,1,5.18,50866.0,4.17,AVERAGE
FRM002774,Bauchi,Groundnut,Dry Season,Sandy,Rain-fed,sprinkler,Yes,No,Yes,6.59,740.5,27.9,88.5,pH 6.93,17.9,1.84,7,6,12.7,0,1,1.58,29132.0,2.28,POOR
FRM002775,Yobe,Millet,wet,Clay,Rain-fed,Flood,Yes,No,No,4.99,8932.0,32.7,63.0%,5.28,91.9,3.43,5,7,14.0,1,1,2.24,47188.0,1.4,LOW
FRM002776,Plateau,Groundnut,Dry Season,clay,Irrigation,None,Yes,No,Yes,2.03,853.8,28.6,80.9,5.29,68.8,2.62,13,5,1.0,0,1,3.55,75122.0,2.76,Moderate
FRM002777,Adamawa,Cassava,Rainy,Sandy,rain-fed,None,Yes,No,No,1.82,933.0,32.3,40.0,6.13,0.0,0.81,14,3,1.8,1,0,4.46 tons,52943.0,2.15,Poor
FRM002778,Sokoto,Cassava,wet season,Sandy,irrigation,None,No,Yes,No,4.5,845.5,24.2,55.0,5.33,69.4,3.35,13,4,29.8,0,0,5.65,65598.0,2.57,MODERATE
FRM002779,Kaduna,Sorghum,wet season,Clay,Rain-fed,flood,No,Yes,Yes,1.74,398.6,22.3,83.3,5.97,89.1,5.44,11,3,1.0,0,1,3.3,54944.0,1.95,Below Average
FRM002780,Bauchi,Cowpea,Wet Season,Clay,Rain-fed,flood,Yes,Yes,Yes,2.17,1298.1,21.5,58.6,5.01,110.0,2.74,17,5,28.4,1,1,0.2,69853.0,3.38,Medium
FRM002781,Niger,Wheat,Harmattan,S,Mixed,Flood,Yes,No,1,1.45,826.4,29.3°C,64.9,7.28,101.3,3.05,9,1,26.3,1,1,3.01,39508.0,38.6,Average
FRM002782,Jigawa,Wheat,Wet Season,Sandy,mixed,Flood,Yes,Yes,No,0.63,1014.9,22.4,89.0,5.37,84.0,5.9,13,6,41.4,0,1,4.45,51528.0,3.23,MEDIUM
FRM002783,Sokoto,Maize,Dry Season,loamy,Irrigation,None,N,Yes,Yes,0.69,492.3,24.3,,5.13,153.6,4.98,10,5,6.4,1,0,3.26,58748.0,3.49,Average
FRM002784,Niger,Maize,WET,Clay,Mixed,Drip,1,yes,Yes,6.44,681.8,18.0,56.8,5.33,10.7,2.96,2,2,21.0,1,1,1.27,66894.0,2.41,LOW
FRM002785,Katsina,Soybean,wet season,Loamy,irrigation,Sprinkler,No,No,Yes,0.31,831.5,24.2,43.2,6.62,38.8,1.38,26,3,13.3,0,0,4.0,46797.0,3.39,Medium
FRM002786,Niger,Cassava,Harmattan,Clay,Irrigation,N/A,yes,No,No,1.75,1176.9,26.0,33.9,8.01,21.9,2.69,16,7,11.4,0,0,0.96,38283.0,0.8,Low
FRM002787,Kaduna,Maize,Wet Season,Clay,irrigation,Flood,No,Yes,No,3.11,810.7,21.1,56.8,6.61,121.6,3.34,5,5,10.7,0,1,3.16,57058.0,3.77,MODERATE
FRM002788,Kaduna,Millet,dry season,Sandy,Mixed,None,yes,Yes,No,1.89,827.1,23.6,55.1,5.58,80.9,7.02,16,3,47.8,0,1,3.1,35541.0,3.29,MEDIUM
FRM002789,Bauchi,Maize,wet season,Loamy,IRRIGATION,Sprinkler,1,No,No,1.66,611.7,32.6 degrees,58.8,pH 7.2,113.7,2.78,5,3,27.0,0,0,2.03,96416.0,2.72,POOR
FRM002790,Plateau,Rice,Wet Season,Clay,Irrigation,None,1,Yes,0,1.13,840.0,23.2,55.5,5.26,29.0,4.34,8,3,2.0,0,0,2.34,57528.0,3.22,M
FRM002791,Kebbi,Rice,DRY,Loamy,Irrigation,drip,No,No,No,0.33 ha,879.4,36.5,81.8,5.87,54.8,3.71,21,1,10.2,0,0,19.4,39024.0,1.63,Poor
FRM002792,Katsina,Millet,Dry Season,Clay,Rain-fed,none,0,Yes,No,5.92,894.4,21.7,50.1,6.52,49.0,0.11,12,8,34.2,1,0,,69258.0,1.1,Poor
FRM002793,Bauchi,Groundnut,wet season,CLAY,rain-fed,Flood,Yes,Yes,No,3.33,1019.7,33.3,88.0,6.15,95.9,3.08,25,1,26.9,0,1,3.54,88764.0,2.7,Moderate
FRM002794,Adamawa,Rice,dry,Clay,rain-fed,sprinkler,Yes,Yes,Yes,9.69,677.1,30.6,,6.57,36.4,0.68,0,3,33.2,1,1,5.36,57421.0,2.45,AVERAGE
FRM002795,Kano,Wheat,wet season,Loamy,Mixed,Flood,Yes,Yes,Yes,0.1,1032.8,38.4,94.5,5.26,54.9,2.87,16,5,19.7,0,0,2.99,61180.0,3.54,MODERATE
FRM002796,Benue,Wheat,Rainy,Sandy,Rain-fed,drip,Yes,0,No,3.04,695.4,28.6,39.1,5.13,69.9,0.0,0,2,1.0,0,0,4.55,46550.0,1.46,L
FRM002797,Jigawa,Rice,Rainy,Sandy,Irrigation,Sprinkler,Yes,No,No,10.92,821.8,18.0,45.5,4.43,112.5 kg/ha,0.47,17,3,4.4,1,1,3.28,52397.0,3.13,M
FRM002798,Niger,Maize,WET,Clay,Rain-fed,Flood,Yes,Yes,Yes,1.1,767.7,37.6,54.8,6.86,90.3,2.85,21,5,27.6,0,1,1.61,27717.0,2.67,medium
FRM002799,Kebbi,Soybean,Harmattan,Clay,Irrigation,drip,Yes,No,Y,1.82,770.9mm,28.5,83.1,6.35,46.4,4.63,9,5,36.1,0,1,4.61,52872.0,2.64,MEDIUM
FRM002800,Plateau,Soybean,Dry Season,clay,Mixed,None,No,Yes,Yes,2.42,825.7,27.7,67.9%,6.19,1247.0,4.99,8,5,30.8,1,0,2.42,49988.0,3.21,Moderate
FRM002801,Zamfara,Wheat,Rainy,LOAMY,Rain-fed,None,0,Yes,Yes,0.68,512.8,31.3,42.4,5.54,174.1,6.59,13,3,14.4,0,0,4.3,74817.0,3.07,MODERATE
FRM002802,Yobe,Rice,Dry Season,Sandy,Rain-fed,None,No,Yes,N,1.03,1108.3,35.5,51.0,6.45,77.6,5.48,18,2,17.4,1,1,3.19,57357.0,1.2,POOR
FRM002803,Kano,Groundnut,Rainy,Sandy,Mixed,Drip,No,Yes,no,1.06,670.3,31.0,54.5,6.3,79.2,3.04,16,3,9.5,0,0,4.05,80572.0,1.92,low
FRM002804,Gombe,Sorghum,wet season,Loamy,Rain-fed,Drip,No,Yes,Yes,0.38,1136.7,27.2,53.9,5.6,110.8,5.33,13,5,32.6,0,0,3.75,60226.0,3.99,Moderate
FRM002805,Taraba,Maize,Harmattan,Clay,Mixed,Sprinkler,Yes,No,Yes,0.4 ha,931.2,31.9,68.9,5.3,59.1,8.11,7,4,30.5,1,1,2.86,44359.0,1.83,Low
FRM002806,Kebbi,Maize,Harmattan,Loamy,Mixed,Flood,Yes,No,Yes,2.74,816.1,24.7,68.0,5.51,38.5 kg/ha,3.77,16,3,1.0,1,1,3.45,35411.0,6.28,Excellent
FRM002807,Yobe,Soybean,dry season,Loamy,Irrigation,None,Yes,No,Yes,1.7,1281.4,23.7,47.2,6.9,43.2,5.33,1,2,15.3,1,0,4.44,64344.0,7.07,HIGH
FRM002808,Zamfara,Rice,wet season,loamy,Rain-fed,Drip,no,0,Yes,6.67,914.8,30.6,66.1,6.05,89.6,6.41,12,1,21.5,1,0,2.36,68826.0,3.01,medium
FRM002809,Katsina,Cowpea,Rainy,loamy,Irrigation,None,Yes,Yes,yes,4.6 acres,1008.4,37.9,63.2,5.62,88.1,1.87,17,6,22.5,1,1,2.38,66520.0,6.48,High
FRM002810,Gombe,Yam,Dry Season,clay,Irrigation,Sprinkler,Yes,Yes,Yes,2.16,255.2,27.8,68.5,6.39,150.5,3.83,9,2,27.8,1,1,4.52,48018.0,5.48,EXCELLENT
FRM002811,Bauchi,Rice,Wet Season,Silt,irrigation,Sprinkler,yes,No,Yes,2.48,1160.6,30.8,43.2%,7.0,87.6,4.23,0,5,4.1,0,1,4.31,25791.0,6.51,high
FRM002812,Plateau,Millet,Dry Season,Silt,Irrigation,None,No,Yes,Yes,3.24 ha,919.3 mm,21.1,51.4,5.16,1086.0,2.78,21,5,7.3,0,0,3.38,56439.0,3.29,Moderate
FRM002813,Kano,Rice,wet season,Clay,irrigation,drip,No,No,No,0.39,1171.0,31.3,57.7,6.82,17.5,7.52,6,1,23.3,1,1,2.21,64970.0,2.32,L
FRM002814,Kano,Maize,Dry Season,loamy,MIXED,None,yes,Yes,No,1.72,713.8,25.3C,56.5,6.08,91.1,3.98,0,3,25.8,1,1,1.21,68751.0,2.7,Medium
FRM002815,Kano,Sorghum,Dry Season,Sandy,Irrigation,Flood,Yes,Yes,Yes,2.08,684.8,25.0,56.0,6.16,-35.7,2.02,8,2,18.9,1,0,2.66,39384.0,2.79,Moderate
FRM002816,Katsina,Millet,Wet Season,Loamy,Rain-fed,drip,No,Yes,Yes,1.41,957.3,27.0,71.6,7.31,89.2,8.54,19,8,26.1,1,1,3.82 tons,64308.0,4.61,M
FRM002817,Gombe,Soybean,Dry Season,Sandy,Rain-fed,Sprinkler,No,Y,Yes,0.1,1193.0,31.8,75.2,6.61,51.8,6.75,10,4,1.0,0,0,4.62,46686.0,3.85,Medium
FRM002818,Niger,Cassava,Wet Season,Clay,Irrigated,Sprinkler,Yes,No,Yes,8.79,929.7,32.8,50.1,5.44,100.3,3.64,11,7,22.1,0,0,2.09,70197.0,2.44,Medium
FRM002819,Taraba,Cassava,Dry Season,Sandy,Irrigation,Sprinkler,No,No,No,1.08,998.7,26.0,49.4,7.48,154.6,3.17,11,3,23.0,0,1,3.48,64408.0,2.13,Poor
FRM002820,Adamawa,Cowpea,Dry Season,Clay,irrigation,None,Yes,Yes,No,1.17,869.6,20.9,82.5,6.25,113.8,0.88,18,5,10.2,1,1,4.76,63333.0,5.66,H
FRM002821,Katsina,Soybean,dry season,Clay,Rainfed,None,Yes,No,Yes,15.99 acres,710.0,23.3,54.8,7.03,73.5,2.64,16,1,28.8,0,0,2.88,54532.0,0.8,Below Average
FRM002822,Benue,Groundnut,Dry Season,Loamy,Rain-fed,flood,0,No,Yes,1.67,857.8 mm,32.1,57.8,6.32,-34.2,3.8,0,8,26.7,0,0,4.21,62792.0,0.86,Low
FRM002823,Jigawa,Wheat,wet,Loamy,Irrigation,None,No,No,Yes,3.58,5177.0,30.3,80.6,5.94,86.1,4.58,9,5,23.0,0,1,2.76,67829.0,3.01,M
FRM002824,Jigawa,Cowpea,wet season,Clay,Rain-fed,Flood,Yes,No,Yes,0.12,703.4,30.3,78.9,,,2.25,13,6,14.2,1,0,0.65,69627.0,0.84,Low
FRM002825,Taraba,Cassava,Wet Season,Loamy,Rainfed,Sprinkler,No,yes,Yes,2.72,557.1,23.0,40.9,5.3,127.2,3.97,9,7,27.0,0,1,4.26,70526.0,3.26,AVERAGE
FRM002826,Kaduna,Wheat,Dry Season,Loamy,Irrigation,drip,yes,Yes,Yes,1.85,691.7,27.7,59.1,5.45,39.1,4.78,14,3,1.0,1,1,2.85,33187.0,5.58,H
FRM002827,Jigawa,Groundnut,DRY,LOAMY,Rain-fed,None,Yes,yes,1,1.44,1059.6,30.9,66.2,6.94,93.2,3.92,9,2,7.8,0,1,1.61,28366.0,3.45,AVERAGE
FRM002828,Plateau,Soybean,Wet Season,loamy,Irrigation,Flood,Yes,Yes,Yes,5.73,539.4,35.3,72.7,6.94,103.8,6.82,12,4,8.4,0,0,4.86,68356.0,5.02,HIGH
FRM002829,Katsina,Wheat,wet,Loamy,rain-fed,Flood,Yes,No,yes,6.27,887.1,25.1,57.2,5.72,52.8,2.53,18,1,1.0 km,0,0,3.98,40530.0,7.51,Excellent
FRM002830,Zamfara,Soybean,Dry Season,Loamy,Rain-fed,Flood,Yes,No,No,0.1,1011.9,30.6,78.9,7.94,86.9,3.83,14,1,31.5,1,0,1.66,30067.0,3.29,Average
FRM002831,Taraba,Groundnut,wet season,Silt,IRRIGATION,drip,Yes,Yes,No,4.86,-924.5,27.3,48.9,6.24,84.0,6.02,0,4,14.0,1,0,5.04,60335.0,6.1,EXCELLENT
FRM002832,Benue,Yam,dry,S,Irrigated,None,Yes,Yes,no,1.42,1067.9,27.3,80.1,5.43,49.9,2.33,24,5,7.0,1,0,2.69,58774.0,2.97,Average
FRM002833,Kaduna,Millet,wet season,Clay,Rain-fed,Sprinkler,Y,Yes,Yes,0.31,745.1,32.5C,47.0,4.39,47.3,5.67,2,7,9.1,1,1,4.07,52313.0,2.02,POOR
FRM002834,Niger,Wheat,wet,Clay,Irrigated,drip,Yes,Yes,Yes,1.74,769.7,30.8,52.8,6.6,-81.3,7.3,1,1,18.8,0,1,2.56,28835.0,3.3,Medium
FRM002835,Gombe,Wheat,wet,Loamy,Irrigation,None,N,Yes,Yes,0.6,1211.1,29.5,54.9,5.67,49.5,1.89,13,3,1.4,1,1,2.17,41586.0,5.07,HIGH
FRM002836,Zamfara,Soybean,wet,Sandy,Irrigation,None,yes,No,N,0.38,1146.9,28.6°C,36.7,pH 6.05,62.6,6.16,8,5,1.0,0,0,3.74,29512.0,2.9,Moderate
FRM002837,Bauchi,Soybean,Rainy,Clay,Mixed,Drip,yes,Yes,Yes,3.55,1081.4,31.5,92.0%,4.62,124.5,3.97,0,1,26.8,1,1,4.98,47070.0,3.01,MODERATE
FRM002838,Taraba,Wheat,Dry Season,Loamy,Rain-fed,Flood,Yes,No,Yes,6.06,678.5,26.0,71.1,6.9,60.0,1.67,8,5,16.6,0,0,2.12,52141.0,3.27,Average
FRM002839,Plateau,Soybean,Dry Season,Clay,MIXED,Flood,Yes,No,yes,0.86,943.7,29.9,55.3,4.74,128.8,4.25,12,3,20.0,1,0,4.43,50257.0,3.1,medium
FRM002840,Gombe,Sorghum,Dry Season,Clay,Mixed,None,No,0,Y,3.67,467.5,28.5,69.9,4.16,32.5,3.28,4,4,5.1,0,0,5.67,69333.0,0.85,very low
FRM002841,Zamfara,Sorghum,dry,clay,Mixed,None,no,Yes,0,-0.91,536.2,26.9,57.2,7.47,134.6,3.31,4,1,1.0,0,1,1.63,67722.0,0.54,Very Poor
FRM002842,Kaduna,Yam,Dry Season,Silt,IRRIGATION,Drip,Yes,Yes,No,6.17,755.8,31.6,64.5,7.83,47.4 kg/ha,0.91,9,7,26.7,1,0,1.24,41632.0,3.27,MEDIUM
FRM002843,Zamfara,Yam,Wet Season,Silt,Rain-fed,None,Yes,No,Yes,0.99,1130.0,27.6,45.9,6.92,69.2,4.62,5,4,8.7,0,0,48.5,62668.0,2.05,M
FRM002844,Yobe,Yam,Rainy,Clay,Irrigation,Flood,Yes,No,No,0.93,439.6,30.9,73.3,5.98,36.3,4.38,19,4,14.1,0,1,-1.94,43813.0,1.82,low
FRM002845,Gombe,Cassava,Dry Season,Loamy,Rain-fed,None,Yes,No,Yes,7.1,701.1,24.6,59.1,5.1,97.1,6.05,28,4,6.1,1,1,2.4,65240.0,3.87,Moderate
FRM002846,Sokoto,Cassava,dry season,loamy,Irrigation,Sprinkler,No,Yes,No,1.7,857.1,29.4,74.3,6.31,73.3,4.18,16,4,12.6km,1,1,4.11,29851.0,5.17,HIGH
FRM002847,Yobe,Rice,wet,Clay,Irrigation,Sprinkler,TRUE,no,Y,2.14,777.9,24.4,76.9,6.9,46.8,4.73,11,1,11.8,1,0,2.66,53391.0,2.69,medium
FRM002848,Adamawa,Cowpea,dry season,Sandy,Rain-fed,N/A,No,Yes,Yes,1.08,856.3,33.6,62.5,6.2,105.7,1.95,4,5,19.9,0,0,1.39,44026.0,2.35,LOW
FRM002849,Kebbi,Millet,dry season,Sandy,Mixed,Flood,Yes,no,No,1.2,637.8,34.0,51.3,6.89,77.0,6.21,3,3,17.8,0,0,1.54,41211.0,0.67,VL
FRM002850,Niger,Sorghum,dry season,LOAMY,Irrigation,Sprinkler,yes,yes,Yes,5.81,672.9,31.1,72.5,5.5,86.4,5.9,10,2,20.6,1,1,1.64,23424.0,6.29,HIGH
FRM002851,Jigawa,Groundnut,dry season,Loamy,irrigation,None,No,yes,No,4.73,532.5,29.5,68.1,7.5,36.3,4.32,17,5,8.0,0,0,3.47,47713.0,3.4,Medium
FRM002852,Kaduna,Millet,Wet Season,Silt,Mixed,None,Yes,1,No,0.91,513.5,21.4,61.7,5.87,74.2,4.98,19,6,20.9,1,0,3.68,76711.0,3.09,Average
FRM002853,Gombe,Millet,wet season,Clay,Rain-fed,Flood,Yes,No,No,0.1 ha,1217.8,31.1,39.0,6.33,8.3,4.27,15,5,22.0,0,0,2.93,58320.0,3.05,Moderate
FRM002854,Adamawa,Groundnut,Wet Season,Loamy,Irrigation,Sprinkler,Yes,no,No,1.32,321.3,33.1,46.2,5.63,59.7,3.95,4,3,16.7,1,1,0.81,45804.0,2.49,medium
FRM002855,Adamawa,Maize,dry season,loamy,Mixed,Flood,no,Yes,Yes,7.9,904.0mm,26.9,76.4,7.4,77.6,3.11,14,6,30.2,1,0,1.65,57635.0,3.74,MEDIUM
FRM002856,Bauchi,Wheat,dry season,loamy,Rain-fed,drip,0,No,Yes,1.4,874.5mm,22.1,90.3,7.08,68.8,3.29,17,4,16.2,1,1,1.0,39260.0,2.18,MODERATE
FRM002857,Zamfara,Cowpea,Dry Season,Loamy,Rain-fed,None,Yes,Yes,Yes,9.76,1072.1,27.7,58.6,7.85,44.9,6.97,1,9,20.8,1,0,3.31,48452.0,3.85,Medium
FRM002858,Kebbi,Rice,wet season,Silt,Rain-fed,Flood,Yes,yes,Yes,3.32,719.8,35.7,79.2,7.61,83.9,4.5,0,2,2.2,1,1,4.99,44485.0,4.71,M
FRM002859,Adamawa,Yam,wet season,Loamy,Rain-fed,sprinkler,Yes,Yes,No,0.99,1045.2,31.1,42.8,6.37,121.8,1.42,17,6,2.2,1,1,0.68,61316.0,3.51,MODERATE
FRM002860,Kebbi,Groundnut,Dry Season,Sandy,Rain-fed,Flood,Yes,no,1,3.73,597.1,29.1,79.8,5.73,75.1,4.01,23,1,23.1,1,0,2.62,48632.0,2.41,medium
FRM002861,Yobe,Cassava,Dry Season,Sandy,Mixed,None,Y,Yes,Yes,0.18,8762.0,32.5,75.4,5.47,58.6,3.64,17,4,31.9,0,0,20.6,40305.0,2.97,Moderate
FRM002862,Zamfara,Yam,Rainy,Sandy,Rain-fed,None,TRUE,Yes,Yes,3.95,688.4,34.7 degrees,66.8,5.57,99.5,0.9,23,5,22.3,1,1,2.64,53002.0,3.67,Moderate
FRM002863,Gombe,Soybean,Rainy,Loamy,mixed,None,No,yes,No,1.73,634.0,29.5,75.2,6.46,36.7,0.32,12,2,17.6,0,1,2.14,48670.0,0.8,Low
FRM002864,Yobe,Groundnut,wet season,Sandy,Rain-fed,flood,Yes,Yes,Yes,1.85,880.0,30.0,59.5,6.78,96.3,4.63,10,3,15.3,0,1,1.55,63166.0,2.94,medium
FRM002865,Plateau,Yam,DRY,Loamy,Irrigation,None,Yes,No,No,1.91,1126.4,33.1,79.8,5.21,83.6,4.48,0,3,8.9,0,1,4.1,56171.0,3.48,medium
FRM002866,Sokoto,Wheat,wet season,Silt,MIXED,none,Yes,No,Yes,1.68,492.7mm,23.7,81.8,7.45,54.2,7.65,12,5,24.9,1,1,1.48,66017.0,1.97 tons,POOR
FRM002867,Adamawa,Wheat,Harmattan,Loamy,Rain-fed,Drip,Yes,Yes,Yes,3.41,602.2,24.1,76.9,5.61,120.8,3.07,21,2,19.8,1,1,3.64,65901.0,7.4,Excellent
FRM002868,Katsina,Wheat,Dry Season,Silt,Mixed,None,Yes,1,Yes,3.08,958.8,30.6,67.6,5.93,26.6,5.17,25,5,35.6,0,1,3.86,45956.0,5.98,Excellent
FRM002869,Yobe,Yam,wet,clay,irrigation,None,Yes,No,Yes,,831.4,24.3,82.6,6.01,120.2,7.21,8,1,25.1,0,0,6.35,55171.0,6.22,HIGH
FRM002870,Sokoto,Wheat,wet season,Loamy,Irrigation,Drip,no,No,Yes,1.84,556.8,29.9,63.0,6.25,106.2,4.23,14,4,22.0,0,0,1.06,44360.0,3.57,Moderate
FRM002871,Zamfara,Sorghum,wet season,Silt,Rain-fed,Sprinkler,Yes,no,Yes,2.98,1029.7,25.2,94.2,6.52,122.3,2.35,7,5,18.9,1,0,3.67,70105.0,3.43,medium
FRM002872,Bauchi,Cassava,WET,Clay,Rain-fed,None,No,No,No,0.5,770.4,23.7,48.2%,6.77,115.9,1.79,16,6,10.1,0,1,1.52,61154.0,1.22,Poor
FRM002873,Niger,Rice,Dry Season,Silt,Rain-fed,N/A,1,No,No,5.39,703.2,27.7,85.2,5.66,40.5,3.15,23,1,27.2,1,0,0.2,44996.0,2.14,Below Average
FRM002874,Katsina,Groundnut,DRY,Sandy,Irrigation,none,Yes,Yes,Yes,0.24,590.0,27.0,92.1,6.25,52.8,0.0,7,1,16.9,1,1,4.3,48750.0,5.92,high
FRM002875,Kaduna,Millet,Dry Season,Loamy,Rain-fed,Flood,Yes,N,No,0.1,640.1,27.9,50.6,6.51,103.6,3.67,5,6,27.9,0,0,5.26,66690.0,3.15,medium
FRM002876,Jigawa,Yam,Dry Season,Loamy,Irrigation,Sprinkler,Yes,yes,no,0.53,-553.3,29.5,67.1,6.61 pH,93.3,1.42,21,3,14.0,0,1,1.74,51726.0,3.27,medium
FRM002877,Bauchi,Yam,WET,clay,Irrigation,Drip,Yes,0,Yes,0.29,1086.6,27.6,54.2,5.77,131.7,3.15,5,4,10.0,1,0,2.99,65272.0,3.87,medium
FRM002878,Sokoto,Cassava,Dry Season,loamy,Mixed,Flood,no,Yes,No,3.01,910.6,28.2,26.8,6.21,105.5,5.17,1,7,22.8,0,0,2.97,53198.0,2.72,M
FRM002879,Zamfara,Maize,Wet Season,Sandy,Irrigation,None,yes,Yes,Yes,4.31,826.8,24.5,68.5,5.74,91.6,4.64,15,5,14.0,0,1,2.11,47912.0,6.8,EXCELLENT
FRM002880,Sokoto,Cowpea,Harmattan,Clay,Mixed,None,Yes,No,Yes,0.41,711.8,242.0,68.5,8.09,36.3,4.73,17,4,31.0,0,0,3.09,53453.0,1.58,Low
FRM002881,Jigawa,Soybean,wet,Sandy,mixed,Flood,No,No,N,8.87 acres,659.3,24.2,50.0,7.17,77.8,5.7,17,3,24.9,0,1,0.83,59907.0,0.96,VERY LOW
FRM002882,Adamawa,Groundnut,dry season,Sandy,Irrigation,Flood,Yes,yes,No,1.55,1648.4,27.3,68.1,7.87,72.8,4.45,22,3,23.6,0,1,2.01,43650.0,2.84,M
FRM002883,Bauchi,Maize,Rainy,Loamy,Rain-fed,sprinkler,No,no,No,0.3,1110.3,35.0,59.1,6.29,90.5,0.44,11,1,1.0,0,0,3.34,55150.0,1.35,L
FRM002884,Yobe,Soybean,dry,C,Rainfed,Flood,No,Yes,Yes,3.88,647.8,26.6,56.2,5.61,50.8,6.94,10,10,6.4,0,0,2.62,59058.0,1.78,POOR
FRM002885,Gombe,Cowpea,dry season,Loamy,Mixed,Drip,No,yes,no,0.52,524.6,29.3,61.3,6.57,98.0,1.32,4,6,34.0,1,0,2.76,36313.0,1.99 t/ha,POOR
FRM002886,Katsina,Millet,wet,Silt,Mixed,Flood,no,Yes,Yes,1.16,777.6,34.0,90.6,6.3,43.6,3.62,16,2,1.0,0,1,0.75,75304.0,1.88,LOW
FRM002887,Benue,Yam,Dry Season,Clay,Mixed,sprinkler,No,No,Yes,1.84,1218.7,27.4 degrees,100.0,6.63,90.0,3.64,6,4,24.6,0,1,1.97,40071.0,1.62,low
FRM002888,Taraba,Wheat,DRY,Silt,Mixed,Flood,No,Yes,No,0.99,542.0,24.7,,5.9,76.7,3.01,17,2,15.6,1,1,3.22,76823.0,4.26,Medium
FRM002889,Sokoto,Cassava,Wet Season,Loamy,mixed,None,No,Yes,No,1.97,1542.9,27.0,51.7,5.69,18.3,4.2,14,1,41.3,1,1,4.35,47797.0,2.47,MEDIUM
